variant,runs,best_value_min,best_value_median,best_value_iqr,best_value_max
de_F0.70_CR0.90,10,0.018262702340294295,0.018262702340306688,1.5557000132560006e-14,0.01826270370099832
ga_arithmetic,10,0.018262702356831896,0.01826277157795035,5.783892468511076e-07,0.01827257632443773
ga_blx,10,0.018262702340877433,0.01826270256872909,2.844109690813834e-09,0.018262896407492894
random,10,0.0182666814290472,0.01862241580844106,0.000398290488534795,0.01970097632837957
