method,runs,best_value_min,best_value_median,best_value_iqr,best_value_max
de,10,0.018262702340294295,0.018262702340306688,1.5557000132560006e-14,0.01826270370099832
ga,20,0.018262702340877433,0.018262704745570298,1.0116519360073295e-07,0.01827257632443773
random,10,0.0182666814290472,0.01862241580844106,0.000398290488534795,0.01970097632837957
